Timestamp,X,Y,Z
[1.72615805e+09],-9.15,-0.45,3.59
[1.72615805e+09],-9.17,-0.47,3.55
[1.72615805e+09],-9.12,-0.48,3.66
[1.72615805e+09],-9.13,-0.37,3.84
[1.72615805e+09],-9.21,-0.35,3.69
[1.72615805e+09],-9.15,-0.35,3.52
[1.72615805e+09],-9.1,-0.36,3.54
[1.72615805e+09],-9.14,-0.37,3.46
[1.72615805e+09],-9.17,-0.39,3.44
[1.72615805e+09],-9.14,-0.42,3.47
[1.72615805e+09],-9.11,-0.43,3.55
[1.72615805e+09],-9.12,-0.47,3.47
[1.72615805e+09],-9.13,-0.5,3.48
[1.72615805e+09],-9.15,-0.51,3.54
[1.72615805e+09],-9.15,-0.45,3.45
[1.72615805e+09],-9.2,-0.41,3.5
[1.72615805e+09],-9.18,-0.35,3.5
[1.72615805e+09],-9.18,-0.37,3.55
[1.72615805e+09],-9.14,-0.37,3.51
[1.72615805e+09],-9.1,-0.34,3.49
[1.72615805e+09],-9.11,-0.35,3.59
[1.72615805e+09],-9.12,-0.38,3.58
[1.72615805e+09],-9.14,-0.41,3.55
[1.72615805e+09],-9.16,-0.41,3.62
[1.72615805e+09],-9.17,-0.38,3.61
[1.72615805e+09],-9.23,-0.41,3.63
[1.72615805e+09],-9.24,-0.41,3.53
[1.72615805e+09],-9.2,-0.44,3.55
[1.72615805e+09],-9.2,-0.41,3.56
[1.72615805e+09],-9.18,-0.41,3.55
[1.72615805e+09],-9.16,-0.42,3.56
[1.72615805e+09],-9.12,-0.4,3.55
[1.72615805e+09],-9.16,-0.39,3.54
[1.72615805e+09],-9.16,-0.42,3.56
[1.72615805e+09],-9.15,-0.43,3.55
[1.72615805e+09],-9.17,-0.42,3.56
[1.72615805e+09],-9.16,-0.43,3.52
[1.72615805e+09],-9.18,-0.41,3.6
[1.72615805e+09],-9.13,-0.41,3.52
[1.72615805e+09],-9.16,-0.37,3.52
[1.72615805e+09],-9.15,-0.38,3.48
[1.72615805e+09],-9.15,-0.37,3.46
[1.72615805e+09],-9.15,-0.36,3.44
[1.72615805e+09],-9.19,-0.33,3.45
[1.72615805e+09],-9.15,-0.38,3.47
[1.72615805e+09],-9.16,-0.38,3.49
[1.72615805e+09],-9.17,-0.38,3.46
[1.72615805e+09],-9.14,-0.36,3.46
[1.72615805e+09],-9.19,-0.34,3.51
[1.72615805e+09],-9.17,-0.37,3.48
[1.72615805e+09],-9.15,-0.37,3.41
[1.72615805e+09],-9.17,-0.36,3.45
[1.72615805e+09],-9.18,-0.33,3.49
[1.72615805e+09],-9.16,-0.37,3.44
[1.72615805e+09],-9.17,-0.33,3.43
[1.72615805e+09],-9.17,-0.35,3.45
[1.72615805e+09],-9.16,-0.37,3.44
[1.72615805e+09],-9.16,-0.36,3.48
[1.72615805e+09],-9.15,-0.35,3.52
[1.72615805e+09],-9.19,-0.37,3.51
[1.72615805e+09],-9.19,-0.36,3.51
[1.72615805e+09],-9.21,-0.35,3.52
[1.72615805e+09],-9.16,-0.37,3.52
[1.72615805e+09],-9.19,-0.38,3.57
[1.72615805e+09],-9.17,-0.35,3.52
[1.72615805e+09],-9.17,-0.39,3.49
[1.72615805e+09],-9.14,-0.39,3.52
[1.72615805e+09],-9.13,-0.4,3.52
[1.72615805e+09],-9.16,-0.4,3.52
[1.72615805e+09],-9.19,-0.39,3.51
[1.72615805e+09],-9.16,-0.37,3.47
[1.72615805e+09],-9.17,-0.37,3.49
[1.72615805e+09],-9.16,-0.36,3.54
[1.72615805e+09],-9.19,-0.43,3.58
[1.72615805e+09],-9.18,-0.43,3.55
[1.72615805e+09],-9.16,-0.4,3.57
[1.72615805e+09],-9.19,-0.34,3.5
[1.72615805e+09],-9.2,-0.38,3.46
[1.72615805e+09],-9.18,-0.39,3.48
[1.72615805e+09],-9.15,-0.37,3.44
[1.72615805e+09],-9.17,-0.35,3.46
[1.72615805e+09],-9.17,-0.38,3.47
[1.72615805e+09],-9.17,-0.36,3.51
[1.72615805e+09],-9.18,-0.38,3.46
[1.72615805e+09],-9.17,-0.38,3.52
[1.72615805e+09],-9.17,-0.38,3.53
[1.72615805e+09],-9.17,-0.41,3.47
[1.72615805e+09],-9.13,-0.41,3.47
[1.72615805e+09],-9.17,-0.41,3.47
[1.72615805e+09],-9.2,-0.38,3.47
[1.72615805e+09],-9.17,-0.37,3.48
[1.72615805e+09],-9.16,-0.37,3.49
[1.72615805e+09],-9.18,-0.36,3.47
[1.72615805e+09],-9.15,-0.37,3.52
[1.72615805e+09],-9.23,-0.38,3.5
[1.72615805e+09],-9.22,-0.4,3.48
[1.72615805e+09],-9.24,-0.37,3.46
[1.72615805e+09],-9.22,-0.41,3.42
[1.72615805e+09],-9.22,-0.39,3.48
[1.72615805e+09],-9.19,-0.39,3.42
[1.72615805e+09],-9.21,-0.36,3.43
[1.72615805e+09],-9.16,-0.37,3.47
[1.72615805e+09],-9.2,-0.38,3.44
[1.72615805e+09],-9.15,-0.38,3.46
[1.72615805e+09],-9.18,-0.38,3.43
[1.72615805e+09],-9.16,-0.39,3.45
[1.72615805e+09],-9.18,-0.39,3.45
[1.72615805e+09],-9.15,-0.4,3.43
[1.72615805e+09],-9.24,-0.42,3.44
[1.72615805e+09],-9.2,-0.45,3.47
[1.72615805e+09],-9.16,-0.4,3.46
[1.72615805e+09],-9.17,-0.38,3.49
[1.72615805e+09],-9.17,-0.36,3.47
[1.72615805e+09],-9.2,-0.38,3.48
[1.72615805e+09],-9.18,-0.37,3.51
[1.72615805e+09],-9.19,-0.37,3.46
[1.72615805e+09],-9.15,-0.42,3.51
[1.72615805e+09],-9.14,-0.4,3.54
[1.72615805e+09],-9.17,-0.43,3.55
[1.72615805e+09],-9.18,-0.38,3.54
[1.72615805e+09],-9.21,-0.34,3.5
[1.72615805e+09],-9.2,-0.32,3.43
[1.72615805e+09],-9.2,-0.34,3.33
[1.72615805e+09],-9.2,-0.35,3.2
[1.72615805e+09],-9.19,-0.38,3.21
[1.72615805e+09],-9.15,-0.4,3.28
[1.72615805e+09],-9.18,-0.42,3.39
[1.72615805e+09],-9.18,-0.44,3.53
[1.72615805e+09],-9.13,-0.42,3.69
[1.72615805e+09],-9.09,-0.45,3.76
[1.72615805e+09],-9.16,-0.42,3.61
[1.72615805e+09],-9.15,-0.4,3.52
[1.72615805e+09],-9.18,-0.39,3.51
[1.72615805e+09],-9.17,-0.37,3.47
[1.72615805e+09],-9.17,-0.34,3.45
[1.72615805e+09],-9.16,-0.33,3.5
[1.72615805e+09],-9.18,-0.36,3.5
[1.72615805e+09],-9.18,-0.37,3.36
[1.72615805e+09],-9.18,-0.34,3.36
[1.72615805e+09],-9.21,-0.36,3.33
[1.72615805e+09],-9.19,-0.32,3.31
[1.72615805e+09],-9.18,-0.32,3.29
[1.72615805e+09],-9.12,-0.34,3.36
[1.72615805e+09],-9.11,-0.39,3.33
[1.72615805e+09],-9.12,-0.49,3.54
[1.72615805e+09],-9.14,-0.48,3.41
[1.72615805e+09],-9.17,-0.42,3.37
[1.72615805e+09],-9.15,-0.4,3.4
[1.72615805e+09],-9.12,-0.37,3.34
[1.72615805e+09],-9.13,-0.33,3.42
[1.72615805e+09],-9.13,-0.36,3.39
[1.72615805e+09],-9.12,-0.36,3.47
[1.72615805e+09],-9.13,-0.37,3.43
[1.72615805e+09],-9.14,-0.37,3.47
[1.72615805e+09],-9.16,-0.39,3.49
[1.72615805e+09],-9.19,-0.37,3.46
[1.72615805e+09],-9.21,-0.39,3.44
[1.72615805e+09],-9.18,-0.43,3.42
[1.72615805e+09],-9.16,-0.43,3.44
[1.72615805e+09],-9.14,-0.43,3.39
[1.72615805e+09],-9.13,-0.44,3.46
[1.72615805e+09],-9.13,-0.45,3.47
[1.72615805e+09],-9.12,-0.45,3.48
[1.72615805e+09],-9.13,-0.42,3.44
[1.72615805e+09],-9.12,-0.4,3.45
[1.72615805e+09],-9.14,-0.45,3.46
[1.72615805e+09],-9.15,-0.45,3.45
[1.72615805e+09],-9.15,-0.39,3.43
[1.72615805e+09],-9.14,-0.38,3.39
[1.72615805e+09],-9.17,-0.36,3.39
[1.72615805e+09],-9.16,-0.36,3.43
[1.72615805e+09],-9.13,-0.35,3.34
[1.72615805e+09],-9.16,-0.35,3.36
[1.72615805e+09],-9.15,-0.32,3.39
[1.72615805e+09],-9.15,-0.38,3.43
[1.72615805e+09],-9.16,-0.41,3.39
[1.72615805e+09],-9.15,-0.35,3.46
[1.72615805e+09],-9.14,-0.35,3.4
[1.72615805e+09],-9.16,-0.4,3.41
[1.72615805e+09],-9.18,-0.36,3.44
[1.72615805e+09],-9.15,-0.41,3.4
[1.72615805e+09],-9.16,-0.38,3.43
[1.72615805e+09],-9.15,-0.39,3.43
[1.72615805e+09],-9.19,-0.4,3.4
[1.72615805e+09],-9.17,-0.38,3.41
[1.72615805e+09],-9.16,-0.4,3.46
[1.72615805e+09],-9.15,-0.34,3.44
[1.72615805e+09],-9.15,-0.38,3.43
[1.72615805e+09],-9.13,-0.37,3.43
[1.72615805e+09],-9.17,-0.37,3.43
[1.72615805e+09],-9.16,-0.37,3.49
[1.72615805e+09],-9.15,-0.37,3.49
[1.72615805e+09],-9.16,-0.38,3.4
[1.72615805e+09],-9.16,-0.39,3.42
[1.72615805e+09],-9.16,-0.37,3.46
[1.72615805e+09],-9.16,-0.42,3.43
[1.72615805e+09],-9.19,-0.38,3.45
[1.72615805e+09],-9.16,-0.38,3.5
[1.72615805e+09],-9.16,-0.36,3.45
[1.72615805e+09],-9.18,-0.37,3.48
[1.72615805e+09],-9.19,-0.37,3.49
[1.72615805e+09],-9.15,-0.43,3.55
[1.72615805e+09],-9.16,-0.41,3.47
[1.72615805e+09],-9.18,-0.38,3.45
[1.72615805e+09],-9.2,-0.39,3.5
[1.72615805e+09],-9.2,-0.36,3.51
[1.72615805e+09],-9.18,-0.38,3.46
[1.72615805e+09],-9.2,-0.35,3.43
[1.72615805e+09],-9.19,-0.36,3.51
[1.72615805e+09],-9.19,-0.41,3.43
[1.72615805e+09],-9.18,-0.41,3.45
[1.72615805e+09],-9.18,-0.4,3.47
[1.72615805e+09],-9.21,-0.37,3.47
[1.72615805e+09],-9.18,-0.4,3.44
[1.72615805e+09],-9.17,-0.38,3.46
[1.72615805e+09],-9.15,-0.38,3.5
[1.72615805e+09],-9.16,-0.41,3.44
[1.72615805e+09],-9.15,-0.4,3.45
[1.72615805e+09],-9.16,-0.4,3.48
[1.72615805e+09],-9.17,-0.41,3.44
[1.72615805e+09],-9.18,-0.37,3.39
[1.72615805e+09],-9.19,-0.39,3.42
[1.72615805e+09],-9.18,-0.41,3.43
[1.72615805e+09],-9.18,-0.37,3.48
[1.72615805e+09],-9.19,-0.36,3.44
[1.72615805e+09],-9.2,-0.4,3.44
[1.72615805e+09],-9.21,-0.4,3.51
